epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,121.139,1.48228,0.69307,0.98218,0.84483,0.000328125,0.000328125,0.000328125
2,242.012,0.74086,0.80792,1,0.50418,0.000628716,0.000628716,0.000628716
3,356.357,0.55534,0.84752,1,0.4038,0.000896307,0.000896307,0.000896307
4,607.876,0.45286,0.85347,1,0.39629,0.0008515,0.0008515,0.0008515
5,692.985,0.36712,0.87921,1,0.32188,0.000802,0.000802,0.000802
6,772.925,0.29832,0.90099,1,0.29821,0.0007525,0.0007525,0.0007525
7,871.872,0.23986,0.88317,1,0.31303,0.000703,0.000703,0.000703
8,951.834,0.23667,0.90495,1,0.26566,0.0006535,0.0006535,0.0006535
9,1033.12,0.21034,0.90297,1,0.2747,0.000604,0.000604,0.000604
10,1114.79,0.19587,0.91089,1,0.26599,0.0005545,0.0005545,0.0005545
11,1219.72,0.16143,0.90891,0.99802,0.29152,0.000505,0.000505,0.000505
12,1326.28,0.18044,0.92277,1,0.22656,0.0004555,0.0004555,0.0004555
